===== GTUnknown Functions =====
0x08049020 _start

===== MissedDetect Functions =====
<none>

===== CountMismatch Functions =====
0x08049690 __GI_fputs_unlocked
0x080496d7 __GI_fwrite_unlocked
0x080497a9 __GI_isatty
0x080497d6 __GI_tcgetattr
0x08049ef5 __pthread_return_0
0x08049f09 __pthread_mutex_init
0x08049f67 __check_one_fd
0x0804a82e _dl_aux_init
0x0804abf6 _dl_parse
0x0804ad36 _dl_do_reloc
0x0804b05e _dl_do_lazy_reloc
0x0804b0bb _dl_parse_lazy_relocation_information
0x0804b0eb _dl_parse_relocation_information
0x0804b17b _dl_add_elf_hash_table
0x0804b5d3 check_match
0x0804ba24 search_for_named_library
0x0804bc37 _dl_load_shared_library
0x0804e8a3 _dl_fixup
0x08050258 dlopen
0x0805045f dlsym
0x08050d45 dlclose
0x08051038 dladdr
0x08051573 __GI_close
0x08051647 __GI_gettimeofday
0x08051b20 __GI_fcntl
0x08051ba8 dprintf
0x08051bda __GI_vdprintf
0x08051c7c __WRITE
0x080520e2 _fp_out_narrow
0x08052175 _charpad
0x080521bc _do_one_spec
0x0805278f _vfprintf_internal
0x08053d52 memcmp_bytes
0x08054308 __GI_mempcpy
0x08054452 __GI___glibc_strerror_r
0x080549f9 malloc_trim
0x08056359 __GI_getenv
0x080563dd __GI_exit
0x08056775 __libc_disable_asynccancel
0x08056850 _dl_memalign
0x08056872 _dl_allocate_static_tls
0x08056a73 allocate_dtv
0x08056ad9 _dl_get_tls_static_info
0x08056e7f _dl_allocate_tls_init
0x08057031 _dl_allocate_tls
0x08057066 _dl_deallocate_tls
0x0805763c clock_gettime
0x080576c1 __libc_sigaction
0x08057aaf __GI_mmap
0x08057e21 __GI_write
0x08057e89 __GI_fseek
0x08057eb3 __GI_fprintf
0x08057ee5 __SEEK
0x08058172 __stdio_seek
0x0805843a _fpmaxtostr
0x0805934f __GI_vfprintf
0x0805972c __GI_lseek64

===== Correct Functions =====
0x0804937b _stdio_term
0x080494cf _stdio_init
0x0804a00c __uClibc_init
0x0804a07e __uClibc_fini
0x0804a454 init_slotinfo
0x0804a807 __pthread_initialize_minimal
0x0804a8bf _dl_nothread_init_static_tls
0x0804a962 _dl_map_cache
0x0804a972 _dl_unmap_cache
0x0804a9de _dl_run_init_array
0x0804aa12 _dl_app_init_array
0x0804aa3b _dl_run_fini_array
0x0804aaa7 _dl_app_fini_array
0x0804b900 _dl_protect_relro
0x080510d8 __lll_lock_wait_private
0x08051458 __errno_location
0x08051476 __h_errno_location
0x08052cf4 _ppfs_setargs
0x080534a5 _stdio_openlist_dec_use
0x08054a84 malloc_init_state
0x08054b59 __malloc_consolidate
0x08055f16 __GI_abort
0x08056497 __clear_internal_signals
0x08057138 _dl_add_to_slotinfo

===== MisInferred Functions =====
0x0805843a _fpmaxtostr

===== Conflict Functions =====
<none>

===== Failed Functions =====
0x080491f6 puts
0x08049322 __CLOSE
0x08049545 __stdio_wcommit
0x08049591 __GI___fputc_unlocked
0x08049690 __GI_fputs_unlocked
0x080496d7 __GI_fwrite_unlocked
0x08049766 __GI_strlen
0x080497a9 __GI_isatty
0x080497d6 __GI_tcgetattr
0x08049ef5 __pthread_return_0
0x08049f09 __pthread_mutex_init
0x08049f1d _pthread_cleanup_push_defer
0x08049f3e _pthread_cleanup_pop_restore
